config,seed,model,buffer,policy,replay,static,final_acc,forgetting,buffer_classes,fit_s,dream_judge_acc,dream_self_acc,recon_mse,judge_test_acc,run_args,omp_threads,schedule,replay_used,hidden,active_frac,asleep_frac,overlap,overlap_in,dim,synops,eff_frac,gate,theta,rest_frac,ach_frac,gate_signal,kp_eff,drift,drift_p99,drift_n,sleeps,rem_used,early_sleeps,sleep_log
bp_derpp_a0.3_b0.5_ce,1,bp,1000,random,derpp,False,0.911,0.10095701503779989,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",41.5268030166626,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_ce,2,bp,1000,random,derpp,False,0.9184,0.08949521550574316,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",40.182103872299194,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5,0,bp,1000,random,derpp,False,0.9005,0.1195109423209045,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",33.56889605522156,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5,1,bp,1000,random,derpp,False,0.8748,0.1523219305764827,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",42.154135942459106,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5,2,bp,1000,random,derpp,False,0.8889,0.13486448465713946,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",41.96039605140686,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_w512_ce,0,bp,1000,random,derpp,False,0.9221,0.08474980241967409,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",75.84218740463257,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_w512_ce,1,bp,1000,random,derpp,False,0.9099,0.10302856141798514,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",75.25794816017151,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_w512_ce,2,bp,1000,random,derpp,False,0.9219,0.08551179313334928,"[109, 121, 82, 89, 102, 78, 103, 101, 110, 105]",76.05226755142212,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_w512,0,bp,1000,random,derpp,False,0.8957,0.12689115292202255,"[105, 131, 99, 102, 102, 98, 83, 103, 87, 90]",75.30299639701843,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
bp_derpp_a0.3_b0.5_w512,1,bp,1000,random,derpp,False,0.8802,0.14628849807989225,"[96, 118, 99, 106, 103, 101, 89, 101, 81, 106]",75.27776575088501,,,,,"{'epochs_per_task': 5, 'batch': 256, 'nrem_batches': 20, 'nrem_gain': 3.0, 'val': False}",1,,,,,,,,,,,,,,,,,,,,,,,
