config,seeds,acc,acc_sd,forgetting,fit_min
loc16_silent_iso_1000,3,0.6691666666666668,0.06038098486554633,0.39699787874094145,10.592345559597016
loc32_none_200,3,0.7596666666666666,0.03337998402236489,0.29194680530737777,3.3051201436254716
loc32_silent_200,3,0.6698,0.0359304884464433,0.40445654105013507,3.266497993469238
loc32_used_200,3,0.7678666666666666,0.001517673658377618,0.2817100025880738,3.2805462770991856
loc32_none_1000,3,0.8512666666666666,0.016574176701523707,0.1738723664256914,3.5847453514734906
loc32_silent_1000,3,0.7003333333333334,0.04394568617433721,0.3673461795226041,3.598475240336524
loc32_used_1000,3,0.8749333333333333,0.007023057263993616,0.14423836490567102,3.558374460538228
static_loc32_none_1000,3,0.9555666666666666,0.0021548395145191824,0.0,3.5402395553059045
static_loc32_silent_1000,3,0.9278666666666666,0.0012897028081436063,0.0,3.4673283298810325
g8_w256s10_night,3,0.8647333333333332,0.04464597779569096,0.1200510640283789,0.8114972631136577
g8_w256s10_loc_silent,3,0.8778333333333332,0.009272180613713984,0.12636513848296924,10.660076887077755
g8_w256s10_loc_none,3,0.8685,0.009814784765852064,0.14123111241812256,11.185861265659332
g8_w512s5_night,3,0.8450000000000001,0.02594667608769955,0.15171266641582523,1.2300453464190164
g8_w512s5_loc_silent,3,0.8875666666666667,0.009066605391949844,0.1117869830965129,17.598078531689115
g8_w512s5_loc_none,3,0.8605333333333333,0.004277070648625425,0.1542099994517825,17.29549144638909
g8_w1024s2_night,3,0.8549000000000001,0.03832662260100676,0.13730368747276847,2.285897750324673
g8_w1024s2_loc_silent,3,0.8798666666666666,0.009200181157636721,0.11926605848512911,39.10001548396216
g8_w1024s2_loc_none,3,0.8734999999999999,0.011072939989000177,0.1232163070692618,35.66132630374696
g8_w256s10_loc_refr,3,0.9008666666666666,0.005704676444228337,0.07967964823778,6.770592900117238
g8_w512s5_loc_refr,3,0.9037666666666667,0.0024131583730317967,0.08230740347561066,10.850113724337684
g8_w256s10_combo,3,0.9058999999999999,0.00518844870842915,0.06649131783204655,6.787186210685306
g8_w512s5_combo,3,0.9136000000000001,0.003207802986469077,0.056207296172443695,10.958177514870961
static_loc16_none_w256s10,3,0.9493333333333333,0.0015947831618541152,0.0,16.468841191132864
static_loc16_refractory_w256s10,3,0.9366333333333333,0.0012220201853215319,0.0,16.52372749911414
static_loc16_none_w512s5,3,0.9504333333333334,0.0015502687938978058,0.0,28.347224813037446
static_loc16_refractory_w512s5,3,0.9275666666666668,0.004404921490030591,0.0,25.52524651818805
static_ctx_none_w512s5,3,0.9512,0.001248999599679651,0.0,0.6252930574946933
ctx_none_w512s5,3,0.19546666666666668,5.7735026918962226e-05,0.995913606433708,0.48633312384287514
g9_dg8_w256s10_night,3,0.8242666666666668,0.039992791017048744,0.13674520008986543,1.8202878700362313
g9_dg8_w256s10_refr,1,0.7943,,0.1777020964176711,29.017146948973338
g9_dg32_w256s10_night,3,0.7988666666666667,0.02489866127592677,0.15475614537594165,2.0021388093630472
g9_dgdense_w256s10_night,3,0.5598,0.008866228059327188,0.34315341431061014,2.124433337317573
g9_dg8r_w256s10_night,3,0.8055333333333333,0.0343191394608509,0.1575511007392014,2.087708048025767
g9_dg8r_w256s10_refr,1,0.749,,0.22177656030011833,28.806765015920003
